,City,Cloudiness (%),Country,Humidity (%),Latitude,Longitude,Wind Speed (MPH),Temperature (F)
0,Clyde River,75.0,CA,66.0,70.47,-68.59,11.41,51.8
1,Zhigansk,0.0,RU,74.0,66.77,123.37,10.42,52.86
2,Cayenne,8.0,GF,62.0,4.94,-52.33,11.41,87.8
3,Bluff,0.0,AU,87.0,-23.58,149.07,5.95,38.19
4,Qaanaaq,20.0,GL,87.0,77.48,-69.36,6.06,35.49
5,Hermanus,0.0,ZA,77.0,-34.42,19.24,2.93,44.49
6,Ushuaia,75.0,AR,52.0,-54.81,-68.31,2.24,46.4
7,Ostrovnoy,36.0,RU,94.0,68.05,39.51,8.75,40.8
8,Lebu,80.0,ET,92.0,8.96,38.73,2.59,53.49
9,Albany,20.0,US,35.0,42.65,-73.75,3.15,82.38
10,Jamestown,48.0,AU,87.0,-33.21,138.6,3.04,34.86
11,Nyurba,56.0,RU,95.0,63.29,118.35,7.52,56.64
12,Torbay,20.0,CA,52.0,47.66,-52.73,25.28,68
13,Luderitz,0.0,NA,55.0,-26.65,15.16,4.05,63.48
14,Rikitea,92.0,PF,100.0,-23.12,-134.97,21.83,76.08
15,Punta Arenas,90.0,CL,93.0,-53.16,-70.91,4.7,37.4
16,Busselton,8.0,AU,100.0,-33.64,115.35,8.19,53.94
17,Constitucion,75.0,MX,41.0,23.99,-104.67,4.7,75.2
19,Butaritari,36.0,KI,100.0,3.07,172.79,7.18,81.93
20,Auki,36.0,NG,92.0,12.18,6.51,6.96,70.68
22,Tuktoyaktuk,75.0,CA,76.0,69.44,-133.03,10.29,51.8
23,Vao,12.0,EE,86.0,59.1,26.19,5.17,59.25
24,Carnarvon,12.0,ZA,69.0,-30.97,22.13,2.59,31.53
25,Altamira,75.0,BR,59.0,-3.2,-52.21,5.82,89.6
26,Vaini,92.0,IN,99.0,15.34,74.49,4.94,67.89
28,San Patricio,92.0,PY,76.0,-26.98,-56.83,5.61,55.47
29,Mar del Plata,0.0,AR,100.0,-46.43,-67.52,1.36,34.05
30,Fiesole,0.0,IT,42.0,43.81,11.29,5.82,82.4
31,Prince Albert,20.0,CA,48.0,53.2,-105.75,12.75,66.2
32,Chuy,88.0,UY,92.0,-33.69,-53.46,22.06,54.39
33,Saint-Philippe,1.0,CA,35.0,45.36,-73.48,23.04,83.28
34,Victoria,75.0,BN,94.0,5.28,115.24,9.75,79.57
35,Coquimbo,75.0,CL,76.0,-29.95,-71.34,10.29,57.2
36,Port Alfred,0.0,ZA,92.0,-33.59,26.89,13.11,62.58
38,Ranong,80.0,TH,100.0,9.96,98.62,15.01,80.85
39,Hopelchen,40.0,MX,49.0,19.77,-89.85,9.17,91.4
40,Impfondo,12.0,CD,87.0,1.62,18.06,2.37,72.75
41,Shache,0.0,CN,46.0,38.42,77.24,8.75,68.34
42,Makakilo City,90.0,US,78.0,21.35,-158.09,3.36,79.34
43,Poum,40.0,MK,77.0,41.28,20.71,2.24,66.2
44,College,20.0,US,45.0,64.86,-147.8,9.17,65.61
46,Oyama,20.0,JP,94.0,36.31,139.8,1.12,75.2
47,Arraial do Cabo,0.0,BR,48.0,-22.97,-42.02,5.82,83.28
49,Goundam,0.0,ML,35.0,16.42,-3.66,5.73,87.33
51,Sayyan,68.0,YE,53.0,15.17,44.32,2.71,59.43
52,Hilo,1.0,US,65.0,19.71,-155.08,4.7,73.56
53,Tabory,0.0,PL,85.0,53.89,19.53,5.39,56.73
54,Ribeira Grande,20.0,PT,73.0,38.52,-28.7,11.41,73.4
55,Opunake,92.0,NZ,100.0,-39.45,173.86,22.73,52.5
56,Portland,75.0,US,49.0,45.52,-122.67,10.29,74.75
57,Dikson,0.0,RU,81.0,73.51,80.55,17.58,45.57
58,Hanna,0.0,CA,37.0,51.64,-111.93,4.5,76.26
59,Atuona,24.0,PF,100.0,-9.8,-139.03,14.79,79.14
62,Vestmanna,80.0,FO,76.0,62.16,-7.17,9.17,50
63,Longyearbyen,75.0,NO,70.0,78.22,15.63,5.82,46.4
64,Tuatapere,92.0,NZ,100.0,-46.13,167.69,11.1,44.49
65,Pisco,75.0,PE,77.0,-13.71,-76.2,9.17,66.2
67,Cidreira,36.0,BR,88.0,-30.17,-50.22,20.27,55.65
68,Barrow,88.0,AR,95.0,-38.31,-60.23,4.61,45.57
69,Cherskiy,100.0,RU,67.0,68.75,161.3,4.94,45.12
70,Hasaki,75.0,JP,100.0,35.73,140.83,4.7,75.2
71,Mezen,20.0,RU,79.0,65.85,44.24,6.17,53.49
73,Kavieng,44.0,PG,100.0,-2.57,150.8,6.96,81.75
74,Yellowknife,40.0,CA,40.0,62.45,-114.38,12.75,71.6
75,Mataura,88.0,NZ,90.0,-46.19,168.86,4.16,36.39
76,Eyl,12.0,SO,67.0,7.98,49.82,22.06,84.09
77,Saint George,75.0,GR,83.0,39.45,22.34,5.82,69.8
78,Yen Bai,92.0,VN,100.0,21.7,104.87,3.15,73.47
79,Katangli,0.0,RU,86.0,51.71,143.23,3.04,50.43
